Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
22.94,False,False,True,359875,,Drawings and Prints,1922,Print,The Large Bathers (Les Baigneurs),,,,,,16176,Artist, ,Paul Cézanne,"French, Aix-en-Provence 1839–1906 Aix-en-Provence", ,"Cézanne, Paul",French,1839      ,1906      ,male,http://vocab.getty.edu/page/ulan/500004793,https://www.wikidata.org/wiki/Q35548,ca. 1898,1893,1903,Color lithograph on wove paper; first state of two,sheet: 19 1/8 x 24 15/16 in. (48.6 x 63.3 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359875,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Mountains|Landscapes|Trees|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/dp/original/DP236716.jpg|https://images.metmuseum.org/CRDImages/dp/original/cezanne_bathers_large plate_1896-1897_D.jpg|https://images.metmuseum.org/CRDImages/dp/original/MM1879.jpg|https://images.metmuseum.org/CRDImages/dp/original/DR191.jpg,,True,Male
1984.1203.22,False,False,True,360123,,Drawings and Prints,1984,Print,The Large Bathers (Les Baigneurs),,,,,,16176,Artist, ,Paul Cézanne,"French, Aix-en-Provence 1839–1906 Aix-en-Provence", ,"Cézanne, Paul",French,1839      ,1906      ,male,http://vocab.getty.edu/page/ulan/500004793,https://www.wikidata.org/wiki/Q35548,1898,1898,1898,Color lithograph,sheet: 19 1/16 x 24 13/16 in. (48.4 x 63.1 cm),"Bequest of Scofield Thayer, Estate of Scofield Thayer, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360123,,,"Metropolitan Museum of Art, New York, NY",Men|Male Nudes|Landscapes|Trees|Bathing,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/dp/original/DP245078.jpg,,True,Male
58.645,False,False,True,360178,,Drawings and Prints,1958,Print,Potiphar's Wife (Potiphars Weib),,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1914,1914,1914,Drypoint; first state of two,plate: 15 1/2 x 11 3/4 inches (39.5 x 29.5 cm),"Gift of Bruno and Sadie Adriani, 1958",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360178,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Female Nudes,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP825314.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP825313.jpg,True,True,Female and Male
1984.1203.198.3,False,False,True,360182,,Drawings and Prints,1984,Print,Squatting Woman,,,,,"From the portfolio ""Das Graphisce Werk von Egon Schiele"" 1922",16239,Artist, ,Egon Schiele,"Austrian, Tulln 1890–1918 Vienna", ,"Schiele, Egon",Austrian,1890      ,1918      ,male,http://vocab.getty.edu/page/ulan/500002633,https://www.wikidata.org/wiki/Q44032,1914,1914,1914,Drypoint,"Plate: 19 × 12 3/8 in. (48.3 × 31.4 cm)
Sheet: 20 3/4 × 15 1/2 in. (52.7 × 39.4 cm)
Frame: 23 × 17 × 1 1/2 in. (58.4 × 43.2 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360182,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/dp/original/DP275005.jpg,True,,Female
1989.1133.1(1–24),False,False,True,360359,,Drawings and Prints,1989,Portfolio,"Max Klinger's Radierungen zu Apulejus' Märchen Amor und Psyche, Opus V a+b",,,,,,69088904997703,Artist|Printer|Author, |Printed by|Written by,Max Klinger|Theo. Stroeser|Lucius Madaurensis Apuleius,"German, Leipzig 1857–1920 Großjena| |M'Daourouch, Algeria ca. 124–after 170", | | ,"Klinger, Max|Stroeser, Theo.|Apuleius, Lucius Madaurensis",German|GErman|Algerian,1857      |          |0120      ,1920      |          |0224      ,male,http://vocab.getty.edu/page/ulan/500023867||,https://www.wikidata.org/wiki/Q44252||,after 1909,1909,1920,Etching and aquatint,Overall: 17 11/16 x 12 3/8 x 3/8 in. (45 x 31.5 x 1 cm),"Gift of Robert Littman, 1989",,,,,,,,,,,,Portfolios,,http://www.metmuseum.org/art/collection/search/360359,,,"Metropolitan Museum of Art, New York, NY",Psyche|Trees,http://vocab.getty.edu/page/ia/901002042|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q843382|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/dp/original/DP822804.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822807.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822808.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822810.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822811.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822814.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822816.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822817.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822819.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822820.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822822.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822823.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822824.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822825.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822827.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822815.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822805.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822809.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822813.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822812.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822818.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822821.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822826.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822803.jpg,True,True,Female and Male
63.572.1(1–7),False,False,True,360360,,Drawings and Prints,1963,Print,Eva und die Zukunft (Rad.-Werk  III),,,,,,69088690889050,Artist|Publisher|Printer, |Published by|Printed by,Max Klinger|Max Klinger|Wilhelm Felsing,"German, Leipzig 1857–1920 Großjena|German, Leipzig 1857–1920 Großjena| ", | | ,"Klinger, Max|Klinger, Max|Felsing, Wilhelm",German|German|German,1857      |1857      |          ,1920      |1920      |          ,male,http://vocab.getty.edu/page/ulan/500023867|http://vocab.getty.edu/page/ulan/500023867|,https://www.wikidata.org/wiki/Q44252|https://www.wikidata.org/wiki/Q44252|,1898,1898,1898,Etching,Overall: 24 3/16 x 17 11/16 x 13/16 in. (61.5 x 45 x 2 cm),"Purchase, Gift of A. G. Raskin, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360360,,,"Metropolitan Museum of Art, New York, NY",Corpses|Male Nudes|Female Nudes|Hills|Trees,http://vocab.getty.edu/page/aat/300410264|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300008777|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q48422|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q54050|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/dp/original/DP822924.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822921.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822922.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822918.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822923.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822919.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP822920.jpg,True,True,Female and Male
1989.1032.2,False,False,True,362651,,Drawings and Prints,1989,Poster,Scribner's The Last Quarter-Century in America,,,,,,1617931450,Artist|Publisher, | ,Kenyon Cox|Charles Scribners and Sons,"American, Warren, Ohio 1856–1919 New York| ", | ,"Cox, Kenyon|Charles Scribners and Sons",American|American,1856      |1846      ,1919      |9999      ,male,http://vocab.getty.edu/page/ulan/500015454|,https://www.wikidata.org/wiki/Q933739|,1895,1895,1895,Commercial relief process,"Sheet: 24 1/8 in. × 14 in. (61.3 × 35.5 cm)
Image: 22 × 11 in. (55.9 × 27.9 cm)","Purchase, The Lauder Foundation, Evelyn H. and Leonard A. Lauder Fund Gift, 1989",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/362651,,,"Metropolitan Museum of Art, New York, NY",,,,https://images.metmuseum.org/CRDImages/dp/original/DP-27832-001.jpg,,True,Male
2003.446.2,False,False,True,363473,,Drawings and Prints,2003,Print,Eve,,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1898–99,1898,1899,Woodcut printed in black ink on heavy light brown wove paper,"image: 11 1/16 x 8 7/16 in. (28.1 x 21.4 cm)
sheet: 12 1/16 x 8 13/16 in. (30.6 x 22.4 cm)","Anonymous Gift, 2003",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363473,,,"Metropolitan Museum of Art, New York, NY",Eve,http://vocab.getty.edu/page/ia/901000205,https://www.wikidata.org/wiki/Q830183,https://images.metmuseum.org/CRDImages/dp/original/DP825437.jpg,True,,Female
2003.446.3,False,False,True,363474,,Drawings and Prints,2003,Print,"Women, Animals, and Foliage",,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1898,1898,1898,Woodcut printed in black ink on thin Japan paper,"image: 6 3/8 x 11 3/16 in. (16.2 x 28.4 cm)
sheet: 9 x 11 15/16 in. (22.8 x 30.4 cm)","Anonymous Gift, 2003",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363474,,,"Metropolitan Museum of Art, New York, NY",Animals|Women|Leaves|Trees,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300011892|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q33971|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/dp/original/DP825452.jpg,True,,Female
61.570.15,False,False,True,363592,,Drawings and Prints,1961,Drawing,Design for large fireplace white tiles produced in Wedgwood's factory,,,,,,16610,Artist,After,John Flaxman,"British, York 1755–1826 London", ,"Flaxman, John",British,1755      ,1826      ,male,http://vocab.getty.edu/page/ulan/500115449,https://www.wikidata.org/wiki/Q366066,1899,1899,1899,Pen and black ink over graphite,mount: 11 7/16 x 8 1/4 in. (29 x 21 cm),"Gift of Randolph Gunter, 1961",,,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/363592,,,"Metropolitan Museum of Art, New York, NY",Helmets|Shields|Women,http://vocab.getty.edu/page/aat/300036794|http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q173603|https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/dp/original/DP804213.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP-26335-001.jpg,True,,Female
1984.1203.198.1,False,False,True,363666,,Drawings and Prints,1984,Print,Girl,,,,,"From the portfolio:  ""Das Graphische Werk von Egon Schiele"" 1922",16239,Artist, ,Egon Schiele,"Austrian, Tulln 1890–1918 Vienna", ,"Schiele, Egon",Austrian,1890      ,1918      ,male,http://vocab.getty.edu/page/ulan/500002633,https://www.wikidata.org/wiki/Q44032,1918,1918,1918,Lithograph,"Image: 8 7/16 × 14 3/4 in. (21.5 × 37.5 cm)
Sheet: 17 13/16 × 24 13/16 in. (45.2 × 63 cm)
Frame: 29 × 23 × 1 1/2 in. (73.7 × 58.4 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363666,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP275004.jpg,True,,Female
1984.1203.198.4,False,False,True,363668,,Drawings and Prints,1984,Print,Sorrow,,,,,"From the portfolio ""Das Graphische Werk von Egon Schiele"" 1922",16239,Artist, ,Egon Schiele,"Austrian, Tulln 1890–1918 Vienna", ,"Schiele, Egon",Austrian,1890      ,1918      ,male,http://vocab.getty.edu/page/ulan/500002633,https://www.wikidata.org/wiki/Q44032,1914,1914,1914,Drypoint,"Plate: 18 7/8 × 12 5/8 in. (47.9 × 32.1 cm)
Sheet: 20 3/4 × 15 3/4 in. (52.7 × 40 cm)
Frame: 23 × 17 × 1 1/2 in. (58.4 × 43.2 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363668,,,"Metropolitan Museum of Art, New York, NY",Sadness|Human Figures,http://vocab.getty.edu/page/aat/300055166|http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q169251|https://www.wikidata.org/wiki/Q5937779,https://images.metmuseum.org/CRDImages/dp/original/DP275007.jpg,True,,Female
66.555.34,False,False,True,364045,,Drawings and Prints,1966,Drawing,"Father Thames and Henley Naiads (Cartoon published in Punch, February 26, 1898)",,,,,,9165,Artist, ,Sir (Edward) Linley Sambourne,"British, London 1844–1910 Kensington, London", ,"Sambourne, (Edward) Linley Sir",British,1844      ,1910      ,male,http://vocab.getty.edu/page/ulan/500010494,https://www.wikidata.org/wiki/Q504621,"Febuary 18, 1898",1898,1898,Pen and black ink over graphite,sheet: 9 x 11 9/16 in. (22.9 x 29.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/364045,,,"Metropolitan Museum of Art, New York, NY",Men|Women|Trains,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300212738,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q870,https://images.metmuseum.org/CRDImages/dp/original/DP805058.jpg,True,,Female
17.3.707,False,False,True,365109,,Drawings and Prints,1917,Print,Wet,,,,,,16278,Artist, ,Anders Zorn,"Swedish, Mora 1860–1920 Mora", ,"Zorn, Anders",Swedish,1860      ,1920      ,male,http://vocab.getty.edu/page/ulan/500002927,https://www.wikidata.org/wiki/Q206820,1911,1911,1911,"Etching and drypoint, third state of three","Plate: 6 1/4 × 4 3/4 in. (15.8 × 12 cm)
Sheet: 12 5/8 × 10 1/16 in. (32 × 25.5 cm)","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/365109,https://www.wikidata.org/wiki/Q19961798,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/dp/original/DP878413.jpg,True,,Female
21.14.12,False,False,True,368270,,Drawings and Prints,1921,Print,"Adam and Eve (Labour: Whan Adam Delved and Eve Span, Who Was Then the Gentleman?)",,,,,,1617299674,Artist|Artist,After| ,Sir Edward Burne-Jones|Carl Hentschel,"British, Birmingham 1833–1898 Fulham|British, active 1890s", | ,"Burne-Jones, Edward, Sir|Hentschel, Carl",British|British,1833      |1850      ,1898      |1920      ,male,http://vocab.getty.edu/page/ulan/500001381|http://vocab.getty.edu/page/ulan/500475837,https://www.wikidata.org/wiki/Q216406|https://www.wikidata.org/wiki/Q98153068,1895 or later,1895,1895,Process print,"Image: 13 1/4 × 11 3/8 in. (33.7 × 28.9 cm)
Sheet: 21 3/8 × 16 3/4 in. (54.3 × 42.5 cm)
Frame: 24 x 18 in. (61 x 45.7 cm)","Rogers Fund, 1921",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/368270,,,"Metropolitan Museum of Art, New York, NY",Infants|Trees|Adam|Eve,http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/ia/901000219|http://vocab.getty.edu/page/ia/901000205,https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q70899|https://www.wikidata.org/wiki/Q830183,https://images.metmuseum.org/CRDImages/dp/original/DP835652.jpg,True,True,Female and Male
1984.1203.191(8),False,False,True,369506,,Drawings and Prints,1984,Print,Greeting (Begrüssung),,,,,,16436,Artist, ,August Macke,"German, Meschede 1887–1914 near Perthes-les-Hurlus", ,"Macke, August",German,1887      ,1914      ,male,http://vocab.getty.edu/page/ulan/500007945,https://www.wikidata.org/wiki/Q33981,1912,1912,1912,Linoleum cut,block: 9 1/2 x 7 1/2 inches (24 x 19 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369506,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Female Nudes|Horses,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q726,https://images.metmuseum.org/CRDImages/dp/original/DP825337.jpg,True,,Female
23.100.1,False,False,True,369727,,Drawings and Prints,1923,Print,Macbeth IV,,,,,,16435816487,Artist|Subject, | ,Wilhelm Lehmbruck|William Shakespeare,"German, Duisburg 1881–1919 Berlin|British, Stratford-upon-Avon 1564–1616 Stratford-upon-Avon", | ,"Lehmbruck, Wilhelm|Shakespeare, William",German|British,1881      |1564      ,1919      |1616      ,male,http://vocab.getty.edu/page/ulan/500019056|http://vocab.getty.edu/page/ulan/500272240,https://www.wikidata.org/wiki/Q551282|https://www.wikidata.org/wiki/Q692,1918,1918,1918,Drypoint; first state of two,plate: 15 1/2 x 11 3/4 inches (39.5 x 29.5 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369727,,,"Metropolitan Museum of Art, New York, NY",Men|Shakespeare|Macbeth,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ulan/500272240| ,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q692|https://www.wikidata.org/wiki/Q130283,https://images.metmuseum.org/CRDImages/dp/original/DP825345.jpg,True,,Female
23.100.2,False,False,True,369729,,Drawings and Prints,1923,Print,"Kneeling One (Kneide, groß)",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1911,1911,1911,Drypoint; first state of three,plate: 13 1/2 x 9 3/4 inches (34.5 x 25 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369729,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP825331.jpg,True,,Female
23.100.3,False,False,True,369730,,Drawings and Prints,1923,Print,"Paolo and Francesca (Paolo und Francesca groß, Hochformat)",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1913,1913,1913,Drypoint; first state of two,plate: 11 1/2 x 7 3/4 inches (29 x 20 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369730,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Female Nudes,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP825327.jpg,True,True,Female and Male
23.100.4,False,False,True,369732,,Drawings and Prints,1923,Print,"Rape II (Raub II, Weib halb)",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1911,1911,1911,Drypoint; second state of two,plate: 11 1/2 x 9 1/2 inches (29 x 24 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369732,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Female Nudes,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP825326.jpg,True,True,Female and Male
23.100.6,False,False,True,369734,,Drawings and Prints,1923,Print,Composition (Große Komposition),,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1913,1913,1913,Drypoint; second state of three,plate: 13 1/2 x 9 3/4 inches (34.5 x 24.5 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369734,,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,https://images.metmuseum.org/CRDImages/dp/original/DP825332.jpg,True,True,Female and Male
56.631.5,False,False,True,369735,,Drawings and Prints,1956,Print,Macbeth III,,,,,,8123716435816487,Publisher|Artist|Subject, | | ,T. C. & E. C. Jack|Wilhelm Lehmbruck|William Shakespeare," |German, Duisburg 1881–1919 Berlin|British, Stratford-upon-Avon 1564–1616 Stratford-upon-Avon",", London| | ","Jack, T. C. & E. C.|Lehmbruck, Wilhelm|Shakespeare, William",British|German|British,1900      |1881      |1564      ,1999      |1919      |1616      ,male,|http://vocab.getty.edu/page/ulan/500019056|http://vocab.getty.edu/page/ulan/500272240,|https://www.wikidata.org/wiki/Q551282|https://www.wikidata.org/wiki/Q692,1918,1918,1918,Drypoint; only state,plate: 15 3/4 x 11 1/4 inches (40 x 29.5 cm),"Gift of Bruno and Sadie Adriani, 1956",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369735,,,"Metropolitan Museum of Art, New York, NY",Macbeth|Children|Women|Shakespeare, |http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ulan/500272240,https://www.wikidata.org/wiki/Q130283|https://www.wikidata.org/wiki/Q7569|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q692,https://images.metmuseum.org/CRDImages/dp/original/DP825344.jpg,True,True,Female and Male
1984.1203.75,False,False,True,369737,,Drawings and Prints,1984,Print,Composition (Große Komposition),,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1913,1913,1913,Drypoint; first state of three,plate: 13 1/2 x 9 3/4 inches (34.5 x 24.5 cm),"Bequest of Scofield Thayer, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369737,,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,https://images.metmuseum.org/CRDImages/dp/original/DP825330.jpg,True,True,Female and Male
